"Symbol","Name","Industry","Market cap","Shares Short","Outstanding Shares","Percent Short","Average Analyst Rating(lower is better)","Last close price","Analyst target price","Target Increase","Action"
"APT","Alpha Pro Tech Ltd","Building Products & Equipment","$114,257,391","1,750,740","13,332,251","13.13%","1.00","$8.52","$16.75","96.60%","Analyze"
"SRG","Seritage Growth Properties","REIT—Retail","$786,801,848","5,611,838","42,760,970","13.12%","","$18.22","$16.00","-12.18%","Analyze"
"X","United States Steel Corporation","Steel","$6,471,871,920","35,289,602","269,661,330","13.09%","2.00","$24.07","$29.39","22.10%","Analyze"
"GOGO","Gogo Inc","Telecom Services","$1,247,359,763","14,328,740","109,609,821","13.07%","1.75","$11.41","$14.00","22.70%","Analyze"
"FLXN","Flexion Therapeutics Inc","Drug Manufacturers—Specialty & Generic","$411,023,228","6,514,089","49,942,069","13.04%","1.27","$8.20","$19.15","133.54%","Analyze"
"GBX","Greenbrier Inc","Railroads","$1,430,473,406","4,278,817","32,824,080","13.04%","1.75","$43.44","$48.40","11.42%","Analyze"
"AXDX","Accelerate Diagnostics Inc","Diagnostics & Research","$492,014,809","7,926,049","61,044,021","12.98%","1.60","$8.25","$13.00","57.58%","Analyze"
"EBIX","Ebix Inc","Software—Application","$1,048,828,202","4,016,005","30,938,885","12.98%","1.50","$33.47","$57.75","72.54%","Analyze"
"KNSA","Kiniksa Pharmaceuticals Ltd.","Biotechnology","$450,249,305","4,184,874","32,322,276","12.95%","1.20","$14.49","$32.00","120.84%","Analyze"
"KURA","Kura Oncology Inc","Biotechnology","$1,381,806,228","8,557,628","66,273,680","12.91%","1.30","$21.72","$43.29","99.31%","Analyze"
"HVT","Haverty Furniture Companies Inc","Home Improvement Retail","$780,361,127","2,178,641","16,926,771","12.87%","2.00","$43.37","$60.00","38.34%","Analyze"
"CHRS","Coherus Biosciences Inc","Biotechnology","$1,047,656,771","9,694,989","75,752,478","12.80%","1.30","$14.25","$25.25","77.19%","Analyze"
"IRWD","Ironwood Pharma Inc","Drug Manufacturers—Specialty & Generic","$2,084,511,905","20,710,412","161,966,737","12.79%","1.83","$12.93","$12.67","-2.01%","Analyze"
"TVTY","Tivity Health Inc","Medical Care Facilities","$1,296,050,227","6,294,953","49,260,746","12.78%","1.56","$27.22","$28.14","3.38%","Analyze"
"ATER","Aterian, Inc.","","$448,029,939","3,901,234","30,624,056","12.74%","","$14.99","$0.00","-100.00%","Analyze"
"ASMB","Assembly Biosciences Inc","Biotechnology","$155,813,804","5,108,805","40,158,197","12.72%","1.17","$3.82","$10.95","186.65%","Analyze"
"APRN","Blue Apron Holdings Inc. Class A","Internet Retail","$62,733,069","1,857,145","14,657,259","12.67%","1.67","$4.20","$10.05","139.29%","Analyze"
"APPH","AppHarvest, Inc.","Farm Products","$1,604,052,288","12,695,040","100,253,268","12.66%","","$15.69","$28.50","81.64%","Analyze"
"VMW","VMWare Inc Class A","Software—Infrastructure","$17,870,112,246","14,141,469","111,709,147","12.66%","1.45","$156.13","$177.57","13.73%","Analyze"
